Indice  Estatus    Matricula  Apellido paterno     Apellido materno     Nombre               Edad  Genero    
0       ACTIVO     332734     HERNANDEZ            QUISPE               YAEL                 20    HOMBRE    
1       ACTIVO     305009     PINEDA               ANDRADE              BIANCA               39    MUJER     
2       ACTIVO     308834     ANDRADE              GARCIA               PAOLA                41    MUJER     
3       ACTIVO     310430     ALVAREZ              JUAREZ               MAGDALENA            67    MUJER     
4       ACTIVO     312989     RODRIGUEZ            CASTILLO             MARIA                68    MUJER     
5       ACTIVO     331505     ROJAS                VERA                 OLIVIA               66    MUJER     
6       ACTIVO     306543     FLORES               MEJIA                SOFIA                51    MUJER     
7       ACTIVO     317107     CASTRO               VERA                 MARIA                62    MUJER     
8       ACTIVO     303384     PINEDA               LOPEZ                PABLO                21    HOMBRE    
9       ACTIVO     327794     QUISPE               BENITEZ              AMANDA               44    MUJER     
10      ACTIVO     310322     ESPINOZA             DEL TORO             ADONIS               25    HOMBRE    
11      ACTIVO     302011     FLORES               SILVA                ALDO                 56    HOMBRE    
12      ACTIVO     324365     BENITEZ              ANDRADE              ELENA                43    MUJER     
13      ACTIVO     306711     MEJIA                CASTILLO             JOHAN                52    HOMBRE    
14      ACTIVO     328522     ANDRADE              CONTRERAS            JULIETA              39    MUJER     
15      ACTIVO     304711     GARCIA               ANDRADE              ALEXIA               25    MUJER     
16      ACTIVO     309690     ROJAS                ANDRADE              MIA                  54    MUJER     
17      ACTIVO     322499     ESPINOZA             DIAZ                 GINA                 52    MUJER     
18      ACTIVO     305784     JUAREZ               MORA                 JOHAN                34    HOMBRE    
19      ACTIVO     312943     HERNANDEZ            FLORES               ADAM                 51    HOMBRE    
20      ACTIVO     309061     CASTRO               CASTILLO             TERESA               43    MUJER     
21      ACTIVO     301727     MEJIA                FLORES               MARTINA              24    MUJER     
22      ACTIVO     327715     FLORES               CASTILLO             OLIVIA               55    MUJER     
23      ACTIVO     308557     VERA                 DUARTE               BRUNA                18    MUJER     
24      ACTIVO     301620     PEREZ                HERNANDEZ            GINA                 62    MUJER     
25      ACTIVO     304280     DEL TORO             MORA                 AMANDA               48    MUJER     
26      ACTIVO     305363     CASTRO               DEL TORO             ALVARO               23    HOMBRE    
27      ACTIVO     317568     DEL TORO             RUIZ                 ERICK                45    HOMBRE    
28      ACTIVO     308467     DIAZ                 ESPINOZA             YAEL                 23    HOMBRE    
29      ACTIVO     329696     CASTRO               COTA                 MARCO                23    HOMBRE    
30      ACTIVO     319160     RUIZ                 ANDRADE              DYLAN                41    HOMBRE    
31      ACTIVO     300459     JUAREZ               ALVAREZ              DAFNE                26    MUJER     
32      ACTIVO     312659     QUISPE               JUAREZ               ALVARO               19    HOMBRE    
33      ACTIVO     324202     COTA                 SANCHEZ              AXEL                 34    HOMBRE    
34      ACTIVO     311586     SILVA                BENITEZ              JOHAN                28    HOMBRE    
35      ACTIVO     308725     LOPEZ                PINEDA               TERESA               59    MUJER     
